2026-08-09-150249-codex-019fe5f7.md#L21	skip	—	Повтор уже стоящего на concept/verified-only-writing.md: запрет писать выдуманное и неуверенное стоит на странице (коррекция, L24), а артефакты, неканоничные, обсужденческие и креативные документы уже покрыты обобщением «осторожность нужна для любого сохраняемого формата» (L26); правило-кандидат перекрыто собственной уточнённой версией
2026-08-09-165811-codex-019fe662.md#L18	add	entity/what-is-1cli-tools-for.md	Владелец задал критерий: при переработке 1cli-tools думать о настоящей цели, сформулированной так, чтобы она реально помогала агенту, а не подменять её локальной чисткой текста.
2026-08-09-165811-codex-019fe662.md#L23	skip	—	Служебное согласие переписать скилл по уже предъявленному черновику; содержание черновика зафиксировано отдельными записями, сама реплика знания не несёт.
2026-08-10-195720-codex-019fec2d.md#L22	add	method/how-to-invoke-codex-threads-and-who-holds-context.md	Владелец высказал идею, что всё должно происходить через оркестратора и общение между ветками может происходить только через оркестратора.
2026-08-11-164716-codex-019ff0a5.md#L20	skip	—	Повтор стоящего правила: созданные ветки нельзя заставлять создавать новые видимые задачи — уже стоит на concept/subagents-inside-codex-threads по источнику #L24 той же беседы.
2026-08-12-183615-codex-019ff629.md#L20	skip	—	Обрывок фразы-уточнение без самостоятельного утверждения; мысль о возможностях Codex вошла в записанное решение переработать скил (entity-страница, #L28).
2026-08-12-183615-codex-019ff629.md#L21	skip	—	Реплика о желаемом масштабе текущей правки; перекрыта записанным решением переработать скил (entity-страница, #L28).
2026-08-12-183615-codex-019ff629.md#L22	add	entity/what-is-1codex-bg-threads-for.md	Владелец поправил предмет 1codex-bg-threads: скилл не про субагентов, а про фоновые ветки Codex.
2026-08-12-183615-codex-019ff629.md#L23	skip	—	Факт «ветки сами могут вызывать субагентов внутри себя» уже стоит на concept/subagents-inside-codex-threads.
2026-08-12-183615-codex-019ff629.md#L24	add	entity/what-is-1codex-bg-threads-for.md	Владелец поправил фокус 1codex-bg-threads: скилл решает общение между тредами, потому что у Codex нет tasks.
2026-08-12-183615-codex-019ff629.md#L25	skip	—	Отчёт о ходе работы: само упоминание исследования знаний не несёт, его итог (тред-библиотекарь цитат) уже стоит на method/how-to-invoke-codex-threads-and-who-holds-context.
2026-08-12-183615-codex-019ff629.md#L26	skip	—	Служебная реплика о завершении передачи знания («теперь ты знаешь»), содержания не содержит.
